Francio	Fr
Radio	Ra
Actinio	Ac
Torio	Th
Protactinio	Pa
Uranio	U
Neptunio	Np
Plutonio	Pu
Americio	Am
Curio	Cm
Berkelio	Bk
Californio	Cf
Einstenio	Es
Fermio	Fm
Mendelevio	Md
Nobelio	No
Lawrencio	Lr
Rutherfordio	Rf
Dubnio	Db
Seaborgio	Sg
Bohrio	Bh
Hassio	Hs
Meitnerio	Mt
Darmstadio	Ds
Roentgenio	Rg
Copernicio	Cn
Nihonium	Nh
Flerovio	Fl
Moscovium	Mc
Livermonio	Lv
Tennessine	Ts
Oganesson	Og
